country,child_mort,exports,health,imports,income,inflation,life_expec,total_fer,gdpp
Dominican Republic,34.4,22.7,6.22,33.3,11100,11100,74.6,2.6,5450
Ecuador,25.1,27.9,8.06,32.4,9350,9350,76.7,2.66,4660
Egypt,29.1,21.3,4.66,26.6,9860,9860,70.5,3.19,2600
El Salvador,19.2,26.9,6.91,46.6,7300,7300,74.1,2.27,2990
Equatorial Guinea,111.0,85.8,4.48,58.9,33700,33700,60.9,5.21,17100
Eritrea,55.2,4.79,2.66,23.3,1420,1420,61.7,4.61,482
Estonia,4.5,75.1,6.03,68.7,22700,22700,76.0,1.72,14600
Fiji,24.1,57.8,4.86,63.9,7350,7350,65.3,2.67,3650
Finland,3.0,38.7,8.95,37.4,39800,39800,80.0,1.87,30800
France,4.2,26.8,11.9,28.1,36900,36900,81.4,2.03,30800
Gabon,63.7,57.7,3.5,18.9,15400,15400,62.9,4.08,8750
Gambia,80.3,23.8,5.69,42.7,1660,1660,65.5,5.71,562
Georgia,16.5,35.0,10.1,52.8,6730,6730,72.8,1.92,2960
Germany,4.2,42.3,11.6,37.1,40400,40400,80.1,1.39,30800
Ghana,74.7,29.5,5.22,45.9,3060,3060,62.2,4.27,1310
Greece,3.9,22.1,10.3,30.7,28700,28700,80.4,1.48,26900
Grenada,14.6,23.8,5.86,49.2,11200,11200,71.3,2.24,7370
Guatemala,35.4,25.8,6.85,36.3,6710,6710,71.3,3.38,2830
Guinea,109.0,30.3,4.93,43.2,1190,1190,58.0,5.34,648
Guinea-Bissau,114.0,14.9,8.5,35.2,1390,1390,55.6,5.05,547
Guyana,37.6,51.4,5.38,79.1,5840,5840,65.5,2.65,3040
Haiti,137.0,15.3,6.91,64.7,1500,1500,52.0,3.33,662
Hungary,6.0,81.8,7.33,76.5,22300,22300,74.5,1.25,13100
Iceland,2.6,53.4,9.4,43.3,38800,38800,82.0,2.2,30800
India,58.8,22.6,4.05,27.1,4410,4410,66.2,2.6,1350
Indonesia,33.3,24.3,2.61,22.4,8430,8430,69.9,2.48,3110
Iran,19.3,24.4,5.6,19.4,17400,17400,74.5,1.76,6530
Iraq,36.9,39.4,8.41,34.1,12700,12700,67.2,4.56,4500
Ireland,4.2,86.9,9.19,86.5,45700,45700,80.4,2.05,30800
Israel,4.6,35.0,7.63,32.9,29600,29600,81.4,3.03,30600
Italy,4.0,25.2,9.53,27.2,36200,36200,81.7,1.46,30800
Jamaica,18.1,31.3,4.81,49.6,8000,8000,74.7,2.17,4680
Japan,3.2,15.0,9.49,13.6,35800,35800,82.8,1.39,30800
Jordan,21.1,48.3,8.04,69.0,9470,9470,75.8,3.66,3680
Kazakhstan,21.5,44.2,4.29,29.9,20100,20100,68.4,2.6,9070
Kenya,62.2,20.7,4.75,33.6,2480,2480,62.8,4.37,967
Kiribati,62.7,13.3,11.3,79.9,1730,1730,60.7,3.84,1490
Kuwait,10.8,66.7,2.63,30.4,49400,49400,78.2,2.21,30800
Kyrgyz Republic,29.6,51.6,6.18,81.7,2790,2790,68.5,3.1,880
Lao,78.9,35.4,4.47,49.3,3980,3980,63.8,3.15,1140
Latvia,7.8,53.7,6.68,55.1,18300,18300,73.1,1.36,11300
Lebanon,10.3,35.8,7.03,60.2,16300,16300,79.8,1.61,8860
Lesotho,99.7,39.4,11.1,101.0,2380,2380,52.0,3.3,1170
Liberia,89.3,19.1,11.8,92.6,700,700,60.8,5.02,327
Libya,16.6,65.6,3.88,42.1,29600,29600,76.1,2.41,12100
Lithuania,6.1,65.3,7.04,67.2,21100,21100,73.2,1.5,12000
Luxembourg,2.8,86.9,7.77,101.0,49400,49400,81.3,1.63,30800
"Macedonia, FYR",10.4,39.8,7.09,58.1,11400,11400,74.0,1.47,4540
Madagascar,62.2,25.0,3.77,43.0,1390,1390,60.8,4.6,413
Malawi,90.5,22.8,6.59,34.9,1030,1030,53.1,5.31,459
Malaysia,7.9,86.9,4.39,71.0,21100,21100,74.5,2.15,9070
Maldives,13.2,77.6,6.33,65.4,10500,10500,77.9,2.23,7100
Mali,137.0,22.8,4.98,35.1,1870,1870,59.5,6.55,708
Malta,6.8,86.9,8.65,101.0,28300,28300,80.3,1.36,21100
Mauritania,97.4,50.7,4.41,61.2,3320,3320,68.2,4.98,1200
Mauritius,15.0,51.2,6.0,62.2,15900,15900,73.4,1.57,8000
"Micronesia, Fed. Sts.",40.0,23.5,13.1,81.0,3340,3340,65.4,3.46,2860
Moldova,17.2,39.2,11.7,78.5,3910,3910,69.7,1.27,1630
Mongolia,26.1,46.7,5.44,56.7,7710,7710,66.2,2.64,2650
Montenegro,6.8,37.0,9.11,62.7,14000,14000,76.4,1.77,6680
Morocco,33.5,32.2,5.2,43.0,6440,6440,73.5,2.58,2830
Mozambique,101.0,31.5,5.21,46.2,918,918,54.5,5.56,419
Myanmar,64.4,0.109,1.97,0.0659,3720,3720,66.8,2.41,988
Namibia,56.0,47.8,6.78,60.7,8460,8460,58.6,3.6,5190
Nepal,47.0,9.58,5.25,36.4,1990,1990,68.3,2.61,592
Netherlands,4.5,72.0,11.9,63.6,45500,45500,80.7,1.79,30800
New Zealand,6.2,30.3,10.1,28.0,32300,32300,80.9,2.17,30800
Niger,123.0,22.2,5.16,49.1,814,814,58.8,6.59,348
Nigeria,130.0,25.3,5.07,17.4,5150,5150,60.5,5.84,2330
Norway,3.2,39.7,9.48,28.5,49400,49400,81.0,1.95,30800
Oman,11.7,65.7,2.77,41.2,45300,45300,76.1,2.9,19300
Pakistan,92.1,13.5,2.2,19.4,4280,4280,65.3,3.85,1040
Panama,19.7,70.0,8.1,78.2,15400,15400,77.8,2.62,8080
Paraguay,24.1,55.1,5.87,51.5,7290,7290,74.1,2.73,3230
Peru,20.3,27.8,5.08,23.8,9960,9960,77.9,2.54,5020
Philippines,31.9,34.8,3.61,36.6,5600,5600,69.0,3.16,2130
Poland,6.0,40.1,7.46,42.1,21800,21800,76.3,1.41,12600
Portugal,3.9,29.9,11.0,37.4,27200,27200,79.8,1.39,22500
Qatar,9.0,62.3,1.81,23.8,49400,49400,79.5,2.07,30800
Romania,11.5,32.6,5.58,38.8,17800,17800,73.7,1.59,8230
Russia,10.0,29.2,5.08,21.1,23100,23100,69.2,1.57,10700
Rwanda,63.6,12.0,10.5,30.0,1350,1350,64.6,4.51,563
Samoa,18.9,29.2,6.47,53.1,5400,5400,71.5,4.34,3450
Saudi Arabia,15.7,49.6,4.29,33.0,45400,45400,75.1,2.96,19300
Senegal,66.8,24.9,5.66,40.3,2180,2180,64.0,5.06,1000
Serbia,7.6,32.9,10.4,47.9,12700,12700,74.7,1.4,5410
Seychelles,14.4,86.9,3.4,101.0,20400,20400,73.4,2.17,10800
Sierra Leone,137.0,16.8,13.1,34.5,1220,1220,55.0,5.2,399
Singapore,2.8,86.9,3.96,101.0,49400,49400,82.7,1.15,30800
Slovak Republic,7.0,76.3,8.79,77.8,25200,25200,75.5,1.43,16600
Slovenia,3.2,64.3,9.41,62.9,28700,28700,79.5,1.57,23400
Solomon Islands,28.1,49.3,8.55,81.2,1780,1780,61.7,4.24,1290
South Africa,53.7,28.6,8.94,27.4,12000,12000,54.3,2.59,7280
South Korea,4.1,49.4,6.93,46.2,30400,30400,80.1,1.23,22100
Spain,3.8,25.5,9.54,26.8,32500,32500,81.9,1.37,30700
Sri Lanka,11.2,19.6,2.94,26.8,8560,8560,74.4,2.2,2810
St. Vincent and the Grenadines,20.7,26.9,4.47,57.1,9920,9920,71.6,2.07,6230
Sudan,76.7,19.7,6.32,17.2,3370,3370,66.3,4.88,1480
Suriname,24.1,52.5,7.01,38.4,14200,14200,70.3,2.52,8300
Sweden,3.0,46.2,9.63,40.7,42900,42900,81.5,1.98,30800
Switzerland,4.5,64.0,11.5,53.3,49400,49400,82.2,1.52,30800
Tajikistan,52.4,14.9,5.98,58.6,2110,2110,69.6,3.51,738
Tanzania,71.9,18.7,6.01,29.1,2090,2090,59.3,5.43,702
Thailand,14.9,66.5,3.88,60.8,13500,13500,76.6,1.55,5080
Timor-Leste,62.6,2.2,9.12,27.8,1850,1850,71.1,6.23,3600
Togo,90.3,40.2,7.65,57.3,1210,1210,58.7,4.87,488
Tonga,17.4,12.4,5.07,60.3,4980,4980,69.9,3.91,3550
Tunisia,17.4,50.5,6.21,55.3,10400,10400,76.9,2.14,4140
Turkey,19.1,20.4,6.74,25.5,18000,18000,78.2,2.15,10700
Turkmenistan,62.0,76.3,2.5,44.5,9940,9940,67.9,2.83,4440
Uganda,81.0,17.1,9.01,28.6,1540,1540,56.8,6.15,595
Ukraine,11.7,47.1,7.72,51.1,7820,7820,70.4,1.44,2970
United Arab Emirates,8.6,77.7,3.66,63.6,49400,49400,76.5,1.87,30800
United Kingdom,5.2,28.2,9.64,30.8,36200,36200,80.3,1.92,30800
United States,7.3,12.4,13.1,15.8,49400,49400,78.7,1.93,30800
Uruguay,10.6,26.3,8.35,25.4,17100,17100,76.4,2.08,11900
Uzbekistan,36.3,31.7,5.81,28.5,4240,4240,68.8,2.34,1380
Vanuatu,29.2,46.6,5.25,52.7,2950,2950,63.0,3.5,2970
Venezuela,17.1,28.5,4.91,17.6,16500,16500,75.4,2.47,13500
Vietnam,23.3,72.0,6.84,80.2,4490,4490,73.1,1.95,1310
Yemen,56.3,30.0,5.18,34.4,4480,4480,67.5,4.67,1310
Zambia,83.1,37.0,5.89,30.9,3280,3280,52.0,5.4,1460
